date,open,high,low,close,symbol
2020-11-19,52.47,53.23,51.945,52.61,KO
2020-11-20,53.12,53.255,52.59,53.13,KO
2020-11-23,52.935,53.175,52.2,52.67,KO
2020-11-24,53.13,53.59,53.02,52.68,KO
2020-11-25,53.06,53.285,52.78,53.22,KO
2020-11-27,53.03,53.19,52.61,52.93,KO
2020-11-30,52.15,52.19,51.075,52.284560661411,KO
2020-12-01,52.16,52.34,51.78,51.6,KO
2020-12-02,52.07,52.13,51.635,52.04,KO
2020-12-03,52.19,52.94,51.9,52.11,KO
2020-12-04,52.89,53.87,52.76,52.78,KO
2020-12-07,53.57,53.78,52.7,53.85,KO
2020-12-08,52.91,53.48,52.75,52.99,KO
2020-12-09,53.36,53.61,53.0,53.18,KO
2020-12-10,53.5,53.51,52.975,53.33,KO
2020-12-11,52.79,53.54,52.78,53.05,KO
2020-12-14,53.67,53.84,53.18,53.35,KO
2020-12-15,53.47,54.225,53.47,53.27,KO
2020-12-16,53.81,53.81,52.935,53.84,KO
2020-12-17,53.21,53.71,53.15,53.06,KO
2020-12-18,52.915,53.84,52.62,53.27,KO
2020-12-21,52.91,53.05,51.98,53.74,KO
2020-12-22,52.81,53.18,52.39,52.81,KO
2020-12-23,52.93,53.3861,52.93,52.76,KO
2020-12-24,53.11,53.55,53.02,53.08,KO
2020-12-28,53.875,54.44,53.73,53.44,KO
2020-12-29,54.37,54.49,54.015,54.16,KO
2020-12-30,54.05,54.635,54.03,54.13,KO
2020-12-31,54.44,54.93,54.27,54.44,KO
2021-01-04,54.83,54.83,52.015,54.84,KO
2021-01-05,52.53,52.67,52.03,52.76,KO
2021-01-06,52.05,52.23,50.1879,52.18,KO
2021-01-07,50.69,50.69,49.52,50.52,KO
2021-01-08,50.23,51.125,49.84,49.96,KO
2021-01-11,50.69,50.86,49.95,51.08,KO
2021-01-12,50.35,50.3684,49.76,50.2,KO
2021-01-13,49.99,50.36,49.9533,50.11,KO
2021-01-14,51.16,51.16,49.215,50.16,KO
2021-01-15,49.23,49.23,48.52,49.23,KO
2021-01-19,48.98,49.05,48.24,48.7,KO
2021-01-20,48.58,48.825,48.305,48.51,KO
2021-01-21,48.83,49.095,48.46,48.68,KO
2021-01-22,48.87,48.94,48.49,48.95,KO
2021-01-25,48.375,48.845,48.24,48.49,KO
2021-01-26,48.89,49.41,48.61,48.78,KO
2021-01-27,48.88,49.32,48.22,49.29,KO
2021-01-28,48.61,49.5,48.595,48.53,KO
2021-01-29,49.02,49.12,48.11,49.15,KO
2021-02-01,48.4,48.69,48.18,48.15,KO
2021-02-02,48.78,49.35,48.63,48.48,KO
2021-02-03,48.81,49.1,48.67,48.96,KO
2021-02-04,48.9,49.07,48.65,48.77,KO
2021-02-05,49.2,49.78,49.12,49.01,KO
2021-02-08,49.97,50.17,49.49,49.65,KO
2021-02-09,49.74,50.03,49.625,49.92,KO
2021-02-10,50.58,50.9,49.53,49.7,KO
2021-02-11,49.66,50.59,49.66,49.6,KO
2021-02-12,50.26,50.8481,50.26,50.3,KO
2021-02-16,50.82,50.82,50.16,50.69,KO
2021-02-17,50.26,50.485,49.885,50.27,KO
2021-02-18,50.02,50.845,49.9,50.13,KO
2021-02-19,50.82,50.84,49.97,50.77,KO
2021-02-22,49.9,50.88,49.67,50.11,KO
2021-02-23,50.66,51.51,50.42,50.63,KO
2021-02-24,50.64,50.9,50.13,50.54,KO
2021-02-25,50.48,50.745,49.98,50.71,KO
2021-02-26,50.42,50.42,48.97,50.17,KO
2021-03-01,49.44,50.45,49.38,48.99,KO
2021-03-02,49.88,50.56,49.7,49.9,KO
2021-03-03,50.08,50.555,49.76,50.1,KO
2021-03-04,49.96,51.085,49.63,49.98,KO
2021-03-05,50.1,50.945,49.895,49.94,KO
2021-03-08,51.16,52.49,51.02,50.79,KO
2021-03-09,51.68,51.855,50.84,51.64,KO
2021-03-10,51.02,51.635,50.72,50.86,KO
2021-03-11,51.13,51.335,50.815,50.693333333333335,KO
2021-03-12,50.645,50.68,50.195,50.52666666666666,KO
2021-03-15,50.44,51.13,50.44,50.36,KO
2021-03-16,51.06,51.53,51.04,51.03,KO
